Wind Speed (m/s),Turbine Output
0,-0.012
0.5,-0.012
1,-0.012
1.5,-0.011
2,0
2.5,0.039
3,0.102
3.5,0.229
4,0.399
4.5,0.596
5,0.848
5.5,1.151
6,1.51
6.5,1.938
7,2.403
7.5,2.949
8,3.602
8.5,4.306
9,5.071
9.5,5.96
10,6.856
10.5,7.849
11,8.863
11.5,9.928
12,10.885
12.5,11.619
13,12.019
13.5,12.276
14,12.395
14.5,12.449
15,12.495
15.5,12.508
16,12.546
16.5,12.555
17,12.503
17.5,12.528
18,12.442
18.5,12.396
19,12.208
19.5,11.878
20,11.989
20.5,11.495
