geometry,time_period,khw_without_lom,khw_with_lom,kwh_delta,ts_file_path
POINT (-89.4065737583436 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.4065737583436.csv
POINT (-89.4060995999747 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.4060995999747.csv
POINT (-89.40562544160581 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.4056254416058.csv
POINT (-89.4051512832369 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.4051512832369.csv
POINT (-89.40467712486802 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.40467712486802.csv
POINT (-89.40420296649911 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.40420296649911.csv
POINT (-89.40372880813023 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.40372880813023.csv
POINT (-89.40325464976132 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.40325464976132.csv
POINT (-89.40278049139243 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.40278049139243.csv
POINT (-89.40230633302353 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.40230633302353.csv
POINT (-89.40183217465464 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.40183217465464.csv
POINT (-89.40135801628574 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.40135801628574.csv
POINT (-89.40088385791685 39.32374224859211),2007-01-01 00:00:00 - 2007-06-16 16:00:00,8900.99438188643,8900.99438188643,0.0,../output/heatmap-180/39.32374224859211_-89.40088385791685.csv
